source,target,type
4234360237099660,3612754707916354,undirected
4234360237099660,3612754707916354,undirected
3612754707916354,4234360237099660,undirected
4234360237099660,3612754707916354,undirected
1603069013244489,2381192998577858,undirected
3105496771923450,4638191438691207,undirected
5788651334387181,7068648540073233,undirected
5788651334387181,5210152333399723,undirected
7068648540073233,5210152333399723,undirected
5212837629822557,7053459589427233,undirected
1994028939468590,0547070173312459,undirected
3666357154549659,3547672971050734,undirected
6279787361233994,3251775617012106,undirected
6279787361233994,2028194865995189,undirected
3251775617012106,2028194865995189,undirected
8324947891255931,9638195936355666,undirected
6991802488982626,2790322814354811,undirected
4101562077663619,3313511334783986,undirected
5240057556076011,2039484969238906,undirected
7288728943944810,3235411510513631,undirected
7288728943944810,7814534710550639,undirected
3235411510513631,7814534710550639,undirected
4101562077663619,3313511334783986,undirected
4565280110542281,8952227827337083,undirected
8709856465061922,1573568521807396,undirected
1955313077111684,1715387197125009,undirected
2050632960242405,6148546666142551,undirected
2050632960242405,1424808046858622,undirected
6148546666142551,1424808046858622,undirected
1521815731111261,2171782600728348,undirected
3612754707916354,4234360237099660,undirected
1512074830811621,2256141988015714,undirected
5788651334387181,3166063302287810,undirected
9121022613112821,7814534710550639,undirected
7421096523152034,6991802488982626,undirected
6603846176805901,6552120101074110,undirected
4101562077663619,3313511334783986,undirected
5970789398466562,8034974380506564,undirected
8952227827337083,4565280110542281,undirected
3778709511526867,2477986999053987,undirected
8166291233008197,0196062088104144,undirected
8166291233008197,7116144690986974,undirected
0196062088104144,7116144690986974,undirected
1955313077111684,1715387197125009,undirected
8709856465061922,1573568521807396,undirected
2571118228946592,7421096523152034,undirected
2571118228946592,6991802488982626,undirected
7421096523152034,6991802488982626,undirected
4858628120867180,9405295954097815,undirected
4858628120867180,6195088696542157,undirected
4858628120867180,3355141192938134,undirected
4858628120867180,3666357154549659,undirected
9405295954097815,6195088696542157,undirected
9405295954097815,3355141192938134,undirected
9405295954097815,3666357154549659,undirected
6195088696542157,3355141192938134,undirected
6195088696542157,3666357154549659,undirected
3355141192938134,3666357154549659,undirected
3196088341529197,5397462709925011,undirected
3196088341529197,1786889674911887,undirected
5397462709925011,1786889674911887,undirected
7648617323415171,0681931788963814,undirected
3196088341529197,8961360348378314,undirected
3196088341529197,1566076687226024,undirected
8961360348378314,1566076687226024,undirected
4101562077663619,3313511334783986,undirected
3612754707916354,4234360237099660,undirected
1265073533241501,9405295954097815,undirected
1521815731111261,2171782600728348,undirected
4101562077663619,3313511334783986,undirected
3460324370874535,2132033120487705,undirected
1096941114079527,1350166605717268,undirected
8420261463283164,7632859243957624,undirected
2571118228946592,3309838473036498,undirected
5455455290915823,1627594508204285,undirected
0799322864183147,9275705085791151,undirected
1350166605717268,4418446095942420,undirected
1603069013244489,2381192998577858,undirected
6991802488982626,2790322814354811,undirected
8727431707798659,1075600690855372,undirected
8727431707798659,1075600690855372,undirected
1075600690855372,8727431707798659,undirected
8727431707798659,1075600690855372,undirected
5386062931435896,7116144690986974,undirected
0080024407634503,7751165217092418,undirected
8855304289295989,6025814882138376,undirected
1595632260905445,3818385640376862,undirected
3460324370874535,3672634695726314,undirected
3460324370874535,7356987381643055,undirected
3672634695726314,7356987381643055,undirected
2603615490605090,1697544939230109,undirected
5510256768554836,4220998164028087,undirected
