source,target,type
8933361259561564,3021268770189132,undirected
8933361259561564,9769937833285092,undirected
8933361259561564,3021268770189132,undirected
8933361259561564,9631665928287598,undirected
8933361259561564,3021268770189132,undirected
8933361259561564,3021268770189132,undirected
8933361259561564,3021268770189132,undirected
4997752549394373,3021268770189132,undirected
4997752549394373,3021268770189132,undirected
4997752549394373,5506513991215666,undirected
4997752549394373,9631665928287598,undirected
4997752549394373,3021268770189132,undirected
4997752549394373,9769937833285092,undirected
4997752549394373,3021268770189132,undirected
4997752549394373,9631665928287598,undirected
4997752549394373,3021268770189132,undirected
4997752549394373,3021268770189132,undirected
4997752549394373,3021268770189132,undirected
3021268770189132,5506513991215666,undirected
3021268770189132,9631665928287598,undirected
3021268770189132,9769937833285092,undirected
3021268770189132,9631665928287598,undirected
3021268770189132,5506513991215666,undirected
3021268770189132,9631665928287598,undirected
3021268770189132,9769937833285092,undirected
3021268770189132,9631665928287598,undirected
5506513991215666,9631665928287598,undirected
5506513991215666,3021268770189132,undirected
5506513991215666,9769937833285092,undirected
5506513991215666,3021268770189132,undirected
5506513991215666,9631665928287598,undirected
5506513991215666,3021268770189132,undirected
5506513991215666,3021268770189132,undirected
5506513991215666,3021268770189132,undirected
9631665928287598,3021268770189132,undirected
9631665928287598,9769937833285092,undirected
9631665928287598,3021268770189132,undirected
9631665928287598,3021268770189132,undirected
9631665928287598,3021268770189132,undirected
9631665928287598,3021268770189132,undirected
3021268770189132,9769937833285092,undirected
3021268770189132,9631665928287598,undirected
9769937833285092,3021268770189132,undirected
9769937833285092,9631665928287598,undirected
9769937833285092,3021268770189132,undirected
9769937833285092,3021268770189132,undirected
9769937833285092,3021268770189132,undirected
3021268770189132,9631665928287598,undirected
9631665928287598,3021268770189132,undirected
9631665928287598,3021268770189132,undirected
9631665928287598,3021268770189132,undirected
3021268770189132,6434939710218427,undirected
6603480808884218,4706714729966794,undirected
7764017175870802,6926348689036257,undirected
3021268770189132,6434939710218427,undirected
5151065642581544,8667477201125880,undirected
8401962186278677,9778490919604593,undirected
6681261695350295,6531716068680999,undirected
5151065642581544,8667477201125880,undirected
3021268770189132,6434939710218427,undirected
6681261695350295,6531716068680999,undirected
8401962186278677,5366644715743524,undirected
8401962186278677,9778490919604593,undirected
5366644715743524,9778490919604593,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
6434939710218427,3021268770189132,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
6434939710218427,3021268770189132,undirected
3021268770189132,6434939710218427,undirected
3305280280214196,3625090170533723,undirected
0900326413960801,4023126199685947,undirected
1172479976966505,6384572541937974,undirected
2478648347203985,3966022971644876,undirected
2478648347203985,3143917585292506,undirected
3966022971644876,3143917585292506,undirected
5362513180111586,1302054970981342,undirected
5151065642581544,8667477201125880,undirected
3412284265072015,1075600690855372,undirected
6603480808884218,9356403913755132,undirected
8401962186278677,5366644715743524,undirected
8401962186278677,9778490919604593,undirected
5366644715743524,9778490919604593,undirected
3021268770189132,6434939710218427,undirected
9920574928553347,5948297956451420,undirected
5621310244457556,1172479976966505,undirected
1172479976966505,5621310244457556,undirected
5362513180111586,8390682026043566,undirected
5366644715743524,9778490919604593,undirected
3021268770189132,6434939710218427,undirected
1128333620617474,0144593147618564,undirected
1128333620617474,2065001055059037,undirected
1128333620617474,6218275996610727,undirected
0144593147618564,2065001055059037,undirected
0144593147618564,6218275996610727,undirected
2065001055059037,6218275996610727,undirected
8401962186278677,5366644715743524,undirected
8401962186278677,9778490919604593,undirected
5366644715743524,9778490919604593,undirected
3021268770189132,6434939710218427,undirected
0806893389732831,0594538019851381,undirected
5195208423017168,2472444188734406,undirected
9947142424896892,4079974860272595,undirected
4791953150250289,6195088696542157,undirected
8401962186278677,5366644715743524,undirected
8401962186278677,9778490919604593,undirected
5366644715743524,9778490919604593,undirected
8401962186278677,9778490919604593,undirected
1414046440611495,7645805665092232,undirected
5151065642581544,8667477201125880,undirected
2072400238950589,1035903177130910,undirected
8401962186278677,9778490919604593,undirected
8520191196227908,9196373186050152,undirected
5195208423017168,2472444188734406,undirected
4888174109504610,5153390279941088,undirected
4080439371637715,6517095824289547,undirected
8861821320530256,3313736441527210,undirected
5319727900195451,1240510825570457,undirected
5366644715743524,9778490919604593,undirected
4791953150250289,6195088696542157,undirected
8401962186278677,5366644715743524,undirected
8401962186278677,9778490919604593,undirected
5366644715743524,9778490919604593,undirected
3021268770189132,6434939710218427,undirected
5151065642581544,8667477201125880,undirected
